timestamp_utc,elapsed_seconds,plugin_pending,plugin_decode_seconds,prom_pending,prom_decode_seconds,deployment_desired,deployment_current,deployment_ready,deployment_available,pod_count,pod_phases,hpa_current,hpa_desired,scaledobject_ready,scaledobject_active,registered_worker_count
2026-08-26T18:48:13.773283+00:00,42.142,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:14.044111+00:00,42.415,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:14.315183+00:00,42.686,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:14.587656+00:00,42.957,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:14.859835+00:00,43.229,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:15.133517+00:00,43.502,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:15.406716+00:00,43.775,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:15.678167+00:00,44.048,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:15.949248+00:00,44.32,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:16.223221+00:00,44.591,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:16.492974+00:00,44.865,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:16.764122+00:00,45.135,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:17.036956+00:00,45.406,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:17.308775+00:00,45.679,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:17.578265+00:00,45.95,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:17.849202+00:00,46.22,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:18.120306+00:00,46.491,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:18.392368+00:00,46.762,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:18.663271+00:00,47.034,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:18.934009+00:00,47.305,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:19.204251+00:00,47.576,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:19.477372+00:00,47.846,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:19.747162+00:00,48.119,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:20.016839+00:00,48.389,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:20.288247+00:00,48.659,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:20.557841+00:00,48.93,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
