LAST SEEN   TYPE      REASON                         OBJECT                                              MESSAGE
4m27s       Normal    ScalingReplicaSet              deployment/statepool-worker                         Scaled down replica set statepool-worker-58585d67f7 from 3 to 1
4m27s       Normal    Killing                        pod/statepool-worker-58585d67f7-btkfv               Stopping container worker
4m27s       Normal    Killing                        pod/statepool-worker-58585d67f7-sdrth               Stopping container worker
4m27s       Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-statepool-worker   New size: 1; reason: All metrics below target
4m27s       Normal    SuccessfulDelete               replicaset/statepool-worker-58585d67f7              Deleted pod: statepool-worker-58585d67f7-sdrth
4m26s       Normal    SuccessfulDelete               replicaset/statepool-worker-58585d67f7              Deleted pod: statepool-worker-58585d67f7-kdxl5
4m26s       Normal    ScalingReplicaSet              deployment/statepool-worker                         Scaled down replica set statepool-worker-58585d67f7 from 1 to 0
4m26s       Normal    Killing                        pod/statepool-worker-58585d67f7-kdxl5               Stopping container worker
3m56s       Warning   Unhealthy                      pod/statepool-worker-58585d67f7-kdxl5               Readiness probe failed: HTTP probe failed with statuscode: 503
3m2s        Normal    ScalingReplicaSet              deployment/statepool                                Scaled down replica set statepool-55dbd7c7bc from 1 to 0
3m2s        Normal    Killing                        pod/statepool-55dbd7c7bc-t4hjh                      Stopping container statepool-plugin
3m2s        Normal    SuccessfulDelete               replicaset/statepool-55dbd7c7bc                     Deleted pod: statepool-55dbd7c7bc-t4hjh
3m1s        Normal    ScalingReplicaSet              deployment/statepool                                Scaled up replica set statepool-59598b7cdf from 0 to 1
3m1s        Normal    Scheduled                      pod/statepool-59598b7cdf-4n5v8                      Successfully assigned statepool-keda/statepool-59598b7cdf-4n5v8 to statepool-keda-control-plane
3m1s        Normal    SuccessfulCreate               replicaset/statepool-59598b7cdf                     Created pod: statepool-59598b7cdf-4n5v8
3m          Normal    Started                        pod/statepool-59598b7cdf-4n5v8                      Started container statepool-plugin
3m          Normal    Pulled                         pod/statepool-59598b7cdf-4n5v8                      Container image "rwkv-statepool-cloud-plugin:0.3.0-beta.2-dev" already present on machine
3m          Normal    Created                        pod/statepool-59598b7cdf-4n5v8                      Created container: statepool-plugin
2m16s       Normal    SuccessfulCreate               replicaset/statepool-worker-58585d67f7              Created pod: statepool-worker-58585d67f7-xkd9b
2m16s       Normal    Scheduled                      pod/statepool-worker-58585d67f7-xkd9b               Successfully assigned statepool-keda/statepool-worker-58585d67f7-xkd9b to statepool-keda-control-plane
2m16s       Normal    ScalingReplicaSet              deployment/statepool-worker                         Scaled up replica set statepool-worker-58585d67f7 from 0 to 1
2m15s       Normal    Created                        pod/statepool-worker-58585d67f7-xkd9b               Created container: worker
2m15s       Normal    Started                        pod/statepool-worker-58585d67f7-xkd9b               Started container worker
2m15s       Normal    Pulled                         pod/statepool-worker-58585d67f7-xkd9b               Container image "rwkv-statepool-worker-keda-sim:20260827" already present on machine
2m13s       Warning   Unhealthy                      pod/statepool-worker-58585d67f7-xkd9b               Readiness probe failed: Get "http://10.244.0.18:18118/ready": dial tcp 10.244.0.18:18118: connect: connection refused
2m12s       Normal    SuccessfulCreate               replicaset/statepool-worker-58585d67f7              Created pod: statepool-worker-58585d67f7-c2qp4
2m12s       Normal    ScalingReplicaSet              deployment/statepool-worker                         Scaled up replica set statepool-worker-58585d67f7 from 1 to 3
2m12s       Normal    Scheduled                      pod/statepool-worker-58585d67f7-c2qp4               Successfully assigned statepool-keda/statepool-worker-58585d67f7-c2qp4 to statepool-keda-control-plane
2m12s       Normal    Scheduled                      pod/statepool-worker-58585d67f7-kfhs2               Successfully assigned statepool-keda/statepool-worker-58585d67f7-kfhs2 to statepool-keda-control-plane
2m12s       Normal    SuccessfulCreate               replicaset/statepool-worker-58585d67f7              Created pod: statepool-worker-58585d67f7-kfhs2
2m12s       Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-statepool-worker   New size: 3; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: statepool-worker,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
2m11s       Normal    Started                        pod/statepool-worker-58585d67f7-kfhs2               Started container worker
