timestamp,memory_used_mib,utilization_gpu_percent
2026/08/08 08:23:45.582, 9076, 0
2026/08/08 08:23:46.625, 9076, 0
2026/08/08 08:23:47.656, 9076, 0
2026/08/08 08:23:48.687, 9076, 0
2026/08/08 08:23:49.717, 9076, 0
2026/08/08 08:23:50.746, 9076, 0
2026/08/08 08:23:51.784, 9076, 0
2026/08/08 08:23:52.825, 9076, 0
2026/08/08 08:23:53.862, 9076, 0
2026/08/08 08:23:54.900, 9076, 0
2026/08/08 08:23:55.928, 9076, 0
2026/08/08 08:23:56.963, 9076, 0
2026/08/08 08:23:57.995, 9076, 0
2026/08/08 08:23:59.027, 9076, 0
2026/08/08 08:24:00.061, 9076, 0
2026/08/08 08:24:01.099, 9076, 0
2026/08/08 08:24:02.136, 9076, 0
2026/08/08 08:24:03.163, 9076, 0
2026/08/08 08:24:04.192, 9076, 0
2026/08/08 08:24:05.221, 9076, 0
2026/08/08 08:24:06.258, 9076, 0
2026/08/08 08:24:07.296, 9076, 0
2026/08/08 08:24:08.328, 9076, 0
2026/08/08 08:24:09.358, 9076, 0
2026/08/08 08:24:10.387, 9076, 0
2026/08/08 08:24:11.418, 9076, 0
2026/08/08 08:24:12.448, 9076, 0
2026/08/08 08:24:13.491, 9076, 0
2026/08/08 08:24:14.524, 9076, 0
2026/08/08 08:24:15.556, 9076, 0
2026/08/08 08:24:16.585, 9076, 0
2026/08/08 08:24:17.619, 9076, 0
2026/08/08 08:24:18.650, 9076, 0
2026/08/08 08:24:19.679, 9076, 0
2026/08/08 08:24:20.718, 9076, 0
2026/08/08 08:24:21.749, 9076, 0
2026/08/08 08:24:22.784, 9076, 0
2026/08/08 08:24:23.816, 9076, 0
2026/08/08 08:24:24.846, 9076, 0
2026/08/08 08:24:25.879, 9076, 0
2026/08/08 08:24:26.909, 9076, 0
2026/08/08 08:24:27.938, 9076, 0
2026/08/08 08:24:28.967, 9076, 0
2026/08/08 08:24:30.002, 9076, 0
2026/08/08 08:24:31.037, 9076, 0
2026/08/08 08:24:32.067, 9076, 0
2026/08/08 08:24:33.102, 9076, 0
2026/08/08 08:24:34.129, 9076, 0
2026/08/08 08:24:35.165, 9076, 0
2026/08/08 08:24:36.197, 9076, 0
2026/08/08 08:24:37.233, 9076, 0
2026/08/08 08:24:38.263, 9076, 0
2026/08/08 08:24:39.292, 9076, 0
2026/08/08 08:24:40.331, 9076, 0
2026/08/08 08:24:41.374, 9076, 0
2026/08/08 08:24:42.406, 9076, 0
2026/08/08 08:24:43.443, 9076, 0
2026/08/08 08:24:44.473, 9076, 0
2026/08/08 08:24:45.513, 9076, 0
2026/08/08 08:24:46.540, 9076, 0
2026/08/08 08:24:47.569, 9076, 0
2026/08/08 08:24:48.605, 9076, 0
2026/08/08 08:24:49.639, 9076, 0
2026/08/08 08:24:50.672, 9076, 0
2026/08/08 08:24:51.702, 9076, 0
2026/08/08 08:24:52.735, 9076, 0
2026/08/08 08:24:53.767, 9076, 0
2026/08/08 08:24:54.799, 9076, 0
2026/08/08 08:24:55.840, 9076, 0
2026/08/08 08:24:56.870, 9076, 0
2026/08/08 08:24:57.903, 9076, 0
